"groupType";	"size"
"A";	50305345
"B";	26932888
"C";	22335514
"C"	;96248839
"C"	;132411142
"C"	;48411626
"A"	;17395212
"C"	;37624676
"A"	;25673390
"C"	;48119478
"A"	;33596715
"A"	;11844987
"J"	;38961493
"D"	;5580091
"A"	;55190429
"J"	;126729620
"E"	;106951880
"J"	;93950617
"C"	;55635766
"J"	;18325297
"C"	;79954262
"A"	;5754537
"A"	;11398131
"F"	;1738526
"H"	;400808
"C"	;73272565
"A"	;36080695
"C"	;74421251
"J"	;19012092
"A"	;31627332
"F"	;2032563
"J"	;24900846
"I"	;42538381
"H"	;375574
"G"	;642396
"A"	;8301182
"I"	;29197465
"G"	;1750985
"K"	;883946
"A"	;2184954
"I"	;26074323
"H"	;466576
"H"	;961624
"D"	;11151983
"A"	;1249529
"D"	;21245815
"A"	;19894204
"A"	;16428109
"C"	;2
"G"	;4549927
"C"	;28617902
"A"	;26749734
"A"	;12713942
"A"	;4032441
"I"	;47410707
"B"	;9069995
"I"	;21876833
"A"	;4234491
"A"	;20142619
"K"	;457432
"H"	;472986
"H"	;850482
"F"	;1179967
"A"	;144596
"G"	;1777089
"K"	;325260
"G"	;6548329
"G"	;3610832
"J"	;3622759
"D"	;11516854
"A"	;42159685
"G"	;5488561
"F"	;1088281
"F"	;1
"G"	;429162
"H"	;338986
"H"	;1141177
"H"	;756183
"F"	;1590697
"A"	;8644601
"A"	;72567885
"A"	;15443808
"K"	;357314
"F"	;16
"G"	;235530
"A"	;13240423
"A"	;31367554
"E"	;5607167
"H"	;594140
"K"	;1116736
"F"	;1821381
"F"	;814314
"F"	;1886817
"A"	;2099528
"D"	;4155
"K"	;186262
"K"	;267361
"A"	;669
"A"	;1941
"H"	;854268
"A"	;2819028
"H"	;476167
"H"	;1043650
"B"	;4055737
"F"	;362126
"F"	;1323210
"G"	;2481128
"G"	;466684
"D"	;5512554
"A"	;4265618
"J"	;7189264
"G"	;8534633
"B"	;18094984
"K"	;502565
"H"	;893260
"H"	;684099
"K"	;139578
"H"	;247376
"A"	;8813
"F"	;44640
"H"	;487067
"H"	;179670
"K"	;291792
"F"	;1190157
"K"	;704431
"D"	;7082207
"A"	;2174709
"K"	;294539
"G"	;4569940
"D"	;4640810
"G"	;1877554
"F"	;1699875
"A"	;4446904
"K"	;223982
"G"	;2833514
"G"	;2573575
"G"	;260057
"H"	;240006
"G"	;834923
"F"	;1031900
"G"	;595283
"G"	;2509928
"H"	;857479
"G"	;844404
"K"	;653630
"F"	;976806
"K"	;246811
"F"	;602394
"F"	;392434
"H"	;860054
"K"	;78041
"H"	;239751
"E"	;48319
"H"	;862548
"K"	;288801
"F"	;952564
"F"	;1678900
"F"	;448
"H"	;307163
"K"	;326351
"K"	;170101
"F"	;2587952
"K"	;178232
"H"	;237103
"G"	;524752
"K"	;7493
"K"	;345352
"H"	;286014
"K"	;508118
"G"	;573669
"F"	;369396
"A"	;2687349
"F"	;739925
"G"	;610551
"H"	;70
"H"	;932852
"K"	;261408
"K"	;157176
"K"	;392714
"G"	;438875
"H"	;574167
"K"	;333159
"H"	;616834
"F"	;1197652
"F"	;1643634
"K"	;479884
"D"	;914081
"F"	;43113
"H"	;459481
"G"	;818663
"F"	;1218912
"G"	;587841
"G"	;269110
"K"	;542618
"G"	;2714587
"F"	;21354
"K"	;178904
"H"	;594414
"A"	;2051064
"D"	;2687914
"G"	;1415692
"F"	;1097308
